OEM,FY,Sum of Gen. (kwh) DAY,Average of %PLF DAY,Average of M/C Avail.%,Average of Grid Avail.%,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,FY,Sum of Gen. (kwh) DAY,Wagited Average of %PLF DAY,Average of M/C Avail.%,Average of Grid Avail.%
a,2021-2022,271486433.0,18.42,96.0,97.72,,2021-2022,788949644,,,
,2020-2021,263336524.0,17.37,96.98,98.46,,2020-2021,737002928,,,
,2019-2020,310016060.0,20.32,97.16,98.56,,2019-2020,897813038,,,
,2018-2019,331609915.0,21.93,98.31,98.61,,2018-2019,933171553,,,
,,1176448932.0,19.51,97.1125,98.3375,,,3356937163,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,
b,2021-2022,3989840.0,15.18,67.55,92.52,,,,,,
,2020-2021,4163703.0,15.84,86.06,90.85,,,,,,
,2019-2020,6184548.0,23.53,94.57,98.13,,,,,,
,2018-2019,6066779.0,23.33,87.39,94.65,,,,,,
,,20404870.0,19.47,83.8925,94.0375,,,,,,
,,,,,,,,,,,
c,2021-2022,20750626.0,15.98,98.22,99.31,,,,,,
,2020-2021,17783965.0,13.69,96.91,98.46,,,,,,
,2019-2020,23874411.0,18.535,97.09,98.015,,,,,,
,2018-2019,24681196.0,19.295,97.61500000000001,97.91,,,,,,
,,87090198.0,16.875,97.45875,98.42375,,,,,,
,,,,,,,,,,,
d,2021-2022,5556478.0,14.92,98.66,99.61,,,,,,
,2020-2021,5374893.0,14.44,99.49,99.3,,,,,,
,2019-2020,7204872.0,19.29,98.1,99.91,,,,,,
,2018-2019,6944925.0,18.65,97.25,99.53,,,,,,
,,25081168.0,16.825,98.375,99.5875,,,,,,
,,,,,,,,,,,
e,2021-2022,73498259.0,15.31,95.55,99.12,,,,,,
,2020-2021,53345907.0,11.33,79.93,98.71,,,,,,
,2019-2020,78709006.0,16.1725,84.615,97.7,,,,,,
,2018-2019,87916088.0,21.61,97.15,99.07,,,,,,
,,293469260.0,16.105625,89.31125,98.65,,,,,,
,,,,,,,,,,,
f,2021-2022,182867835.0,22.25,98.77,99.38,,,,,,
,2020-2021,164654673.0,20.03,97.99,99.19,,,,,,
,2019-2020,169183110.0,33.365,84.95333333333333,98.98333333333333,,,,,,
,2018-2019,179219495.0,35.693333333333335,85.64,99.04333333333334,,,,,,
,,695925113.0,27.83458333,91.83833333,99.14916667,,,,,,
,,,,,,,,,,,
g,2021-2022,230800173.0,17.48,90.94,99.29,,,,,,
,2020-2021,228343263.0,17.42,91.33,99.28,,,,,,
,2019-2020,302641031.0,22.5975,93.36375,98.50375,,,,,,
,2018-2019,296733155.0,23.22,93.35749999999999,98.65249999999999,,,,,,
,,1058517622.0,20.179375,92.2478125,98.9315625,,,,,,
