0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Category,,,,,,,,,,Category,,,,,,
,,HDD,SPD,FFI,ADW,HDW,LAD,TWC,,,,TWC,LAD,HDW,ADW,FFI,SPD,HDD
Brand,Persil,,,2005,,,,,,Brand,Persil,,,,,,,
,Bref,730,,,,,4575,,,,Silan,,,,,,,
,Cif,3772,,,,,3867,3121,,,Pur,,,,,,,
,Clin,,,,,,,2269,,,Bref,,,,,,,
,Coccolino,,,678,,,,,,,Bloo,,,,,,,
,Domestos,25,,,,,8416,,,,Clin,,,,,,,
,Finish,,,,7647,,,,,,,,,,,,,
,Jar,,,,5922,2903,,,,,,,,,,,,
,Lenor,,,7636,,,,,,,,,,,,,,
,Pur,,,,,8913,,,,,,,,,,,,
,Silan,,,5531,,,,,,,,,,,,,,
,TS,,,,,2502,7343,,,,,,,,,,,
,Dylon,,,,,,18217,,,,,,,,,,,
,Bloo,,,,,,,1230,,,,,,,,,,
